cause,sex,frmat,IM_Frmat,deaths1,deaths2,deaths3,deaths4,deaths5,deaths6,deaths7,deaths8,deaths9,deaths10,deaths11,deaths12,deaths13,deaths14,deaths15,deaths16,deaths17,deaths18,deaths19,deaths20,deaths21,deaths22,deaths23,deaths24,deaths25,deaths26,IM_deaths1,IM_deaths2,IM_deaths3,IM_deaths4
C809,1,00,01,1846,0,0,0,0,0,0,0,0,0,4,3,1,11,14,35,180,276,313,243,241,262,182,72,9,0,0,0,0,0
C809,2,00,01,1829,0,0,0,0,0,0,0,0,0,0,1,2,3,12,13,101,181,242,203,264,320,325,138,24,0,0,0,0,0
C810,1,00,01,11,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0
C810,2,00,01,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0
C811,1,00,01,24,0,0,0,0,0,0,0,1,0,0,4,3,2,1,1,1,6,3,0,0,1,1,0,0,0,0,0,0,0
C811,2,00,01,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
C812,1,00,01,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,2,0,2,0,0,0,0,0,0,0
C812,2,00,01,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C813,2,00,01,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
C817,1,00,01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
C819,1,00,01,53,0,0,0,0,0,0,0,0,1,4,1,5,2,4,4,3,7,6,5,4,5,1,1,0,0,0,0,0,0
C819,2,00,01,42,0,0,0,0,0,0,0,0,0,1,0,1,4,0,3,1,4,3,7,6,4,5,3,0,0,0,0,0,0
C820,1,00,01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0
C820,2,00,01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,3,1,1,1,0,0,0,0,0,0
C821,1,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C823,1,00,01,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
C823,2,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
C827,1,00,01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,1,1,0,0,0,0,0,0,0
C827,2,00,01,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
C829,1,00,01,50,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,7,8,6,9,8,2,5,1,0,0,0,0,0,0
C829,2,00,01,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,8,6,10,17,3,0,0,0,0,0,0
C830,1,00,01,11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,2,3,0,0,0,0,0,0,0,0,0
C830,2,00,01,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,4,2,1,0,0,0,0,0,0
C831,1,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
C831,2,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
C833,1,00,01,39,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,3,5,3,8,4,4,4,1,0,0,0,0,0,0
C833,2,00,01,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,10,5,9,9,4,5,0,0,0,0,0,0
C835,1,00,01,25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,3,3,8,2,2,0,0,0,0,0,0,0
C835,2,00,01,20,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,2,5,5,1,1,0,0,0,0,0,0,0
C837,1,00,01,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0
C837,2,00,01,6,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
C838,1,00,01,70,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,7,8,9,15,11,7,3,1,0,0,0,0,0,0
C838,2,00,01,55,0,0,0,0,0,0,0,2,0,0,1,0,3,1,2,3,7,6,7,11,4,7,1,0,0,0,0,0,0
C839,1,00,01,144,0,0,0,0,0,1,0,0,0,2,2,1,2,2,6,10,20,23,25,16,22,12,0,0,0,0,0,0,0
C839,2,00,01,128,0,0,0,0,0,0,0,0,0,1,1,3,2,2,2,6,8,9,26,20,24,18,5,1,0,0,0,0,0
C840,1,00,01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,3,0,0,0,0,0,0,0
C840,2,00,01,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,3,1,1,0,0,0,0,0,0
C841,1,00,01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
C841,2,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
C844,1,00,01,41,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,7,8,8,5,5,1,0,0,0,0,0,0,0,0
C844,2,00,01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,3,4,5,0,2,0,0,0,0,0,0
C845,1,00,01,40,0,0,0,0,0,1,0,0,1,1,0,1,0,1,3,4,8,9,6,1,4,0,0,0,0,0,0,0,0
C845,2,00,01,26,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,5,2,4,5,3,0,1,0,0,0,0,0,0
C851,1,00,01,84,0,0,0,0,0,0,0,1,1,0,1,0,1,1,3,4,10,10,9,15,16,10,2,0,0,0,0,0,0
C851,2,00,01,101,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,6,14,16,17,21,15,2,1,0,0,0,0,0
C857,1,00,01,140,0,0,0,0,0,0,0,1,0,1,0,2,5,9,6,17,18,35,19,17,7,2,1,0,0,0,0,0,0
C857,2,00,01,90,0,0,0,0,0,0,0,0,1,2,3,1,3,1,2,7,13,10,8,17,10,9,3,0,0,0,0,0,0
C859,1,00,01,253,0,0,0,0,0,0,0,0,0,7,2,4,3,6,9,15,21,41,43,41,37,18,5,1,0,0,0,0,0
C859,2,00,01,222,0,0,0,0,0,0,0,1,1,3,1,0,5,1,4,9,14,38,23,42,35,30,13,2,0,0,0,0,0
C880,1,00,01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,2,1,3,0,0,0,0,0,0,0
C880,2,00,01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,2,1,1,0,0,0,0,0,0
C887,1,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
C887,2,00,01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
C889,1,00,01,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,0,0,0,0,0
C889,2,00,01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0
C900,1,00,01,642,0,0,0,0,0,0,0,0,0,0,0,3,7,9,26,41,100,123,90,111,73,49,9,1,0,0,0,0,0
C900,2,00,01,706,0,0,0,0,0,0,0,0,1,0,0,0,2,7,18,39,69,128,121,119,107,71,21,3,0,0,0,0,0
C901,1,00,01,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,6,2,1,1,1,1,0,0,0,0,0,0
C901,2,00,01,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,2,3,1,0,0,0,0,0,0,0
C902,1,00,01,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,0,3,0,0,0,0,0,0,0
C902,2,00,01,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,3,2,1,0,0,0,0,0,0,0
C910,1,00,01,89,0,0,0,0,0,3,4,3,7,3,8,3,8,6,3,5,8,6,5,8,4,5,0,0,0,0,0,0,0
C910,2,00,01,75,0,0,0,1,0,2,2,1,1,3,2,2,1,6,3,7,7,11,4,5,8,8,1,0,0,0,0,0,0
C911,1,00,01,512,0,0,0,0,0,0,0,0,1,0,1,1,2,8,8,24,52,82,75,78,94,60,19,7,0,0,0,0,0
C911,2,00,01,412,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,13,20,37,52,62,95,79,31,11,0,0,0,0,0
C913,1,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C913,2,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
C914,1,00,01,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,2,0,4,0,1,1,0,0,0,0,0
C914,2,00,01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
C915,1,00,01,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C915,2,00,01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
C917,1,00,01,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,1,1,0,0,0,0,0,0,0
C917,2,00,01,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,0,0,0
C919,1,00,01,76,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,6,14,16,13,9,10,3,0,0,0,0,0,0
C919,2,00,01,70,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,2,5,6,7,15,16,11,2,0,0,0,0,0
C920,1,00,01,542,0,0,0,0,0,0,4,1,3,2,4,10,7,8,20,35,66,99,97,68,77,34,7,0,0,0,0,0,0
C920,2,00,01,497,0,1,1,0,1,1,2,1,1,2,4,6,10,12,14,43,53,74,73,73,68,45,11,1,0,0,0,0,0
C921,1,00,01,98,0,0,0,0,0,0,0,0,1,1,1,4,3,5,1,3,9,7,12,19,21,9,2,0,0,0,0,0,0
C921,2,00,01,70,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,6,5,7,12,17,11,5,0,0,0,0,0,0
C922,1,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
C922,2,00,01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0
C923,1,00,01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C923,2,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C924,1,00,01,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C924,2,00,01,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C925,1,00,01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0
C925,2,00,01,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
C927,1,00,01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
C927,2,00,01,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
C929,1,00,01,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,3,4,5,5,7,1,0,0,0,0,0,0
C929,2,00,01,49,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,2,5,8,11,14,2,0,0,0,0,0,1
C930,1,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C930,2,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
C931,1,00,01,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,11,5,3,13,2,0,0,0,0,0,0,0
C931,2,00,01,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,0,3,2,0,0,0,0,0,0,0
C937,1,00,01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0
C937,2,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C939,1,00,01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0
C939,2,00,01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0
C940,1,00,01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
C940,2,00,01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
C942,1,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C943,1,00,01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
C944,1,00,01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0
